Name,Date,Title,Review,Rating,Type,Details,positive,negative,neutral,compound
Product not delivered,Reviewed in India on 15 August 2024,Bought this for my LDR BF,"Good quality phone, sadly the relationship didn’t last but the phone will.",5.0 out of 5 stars,Apple iPhone 13,Colour: BlueSize: 128 GB,0.141,0.137,0.722,0.0129
Rajan goyal,Reviewed in India on 27 August 2024,Good,Nice,5.0 out of 5 stars,Apple iPhone 13,Colour: MidnightSize: 128 GB,1,0,0,0.4215
Luqman shaikh,Reviewed in India on 26 August 2024,iPhone 13,Is the best phone,5.0 out of 5 stars,Apple iPhone 13,Colour: BlueSize: 128 GB,0.583,0,0.417,0.6369
Antony.B,Reviewed in India on 4 August 2024,Nice Product F serious,I m satisfied with this beautiful product but I received F serious Serial number apart from signal issue  tower issue rest phone work good,5.0 out of 5 stars,Apple iPhone 13,Colour: (PRODUCT) REDSize: 256 GB,0.37,0.056,0.575,0.802
Karthik,Reviewed in India on 25 June 2024,Dream mobile,"Apple iPhone is my dream mobile. I am loving this till now, the only concern I'm feeling is, since it is a bit older version the OS updates may be less in the future.",4.0 out of 5 stars,Apple iPhone 13,Colour: StarlightSize: 128 GB,0.203,0,0.797,0.7506
Asarudheen,Reviewed in India on 20 October 2023,feel good yet(6 month),"IOS 17.5 (current version updated from 16.6)Thw worst thing as a ios user for me that the fear of update , i heared some updates get display issues battery drain issues , god sake i doesn't had any issues from ios updates , but till i care- device  was great, super handy for me, little feeling of weight .Display - The 60Hz refresh rate didn't felt badly form me cause i am used such kind of device before. - The brightness Range is so comfortable. - The 2160p60 HDR videos in youtube give blissful experianceBattery And charging - The charging time:- i took 1Hour to charge  from 20% to 91% using apple 20w original adapter and cable without any interruption(no electricity break or disconnection ,calls etc) - Battery backup - I am mostly maintain battery in btw 20% <-> 80% so i think this may get one day backup for me ,Average 5h screen on timeThe one day backup is just a advertisemnt advertisement label usaully we use, actually a day like  events,party,outing  we use -camera ,editing app, social media app more than usual use , that day i didn't get a satisfied backup . - Little temperature warming while charging , no heating issue- battery health after 6 month 98%-battery cycle count 194  after 6 monthPerfomance - Good perfomance for video editing ,photography , social media . (I am not a gamer ) Camera-  Even though i  felt some lag or stuck screens in some third party applications - The cinematic Mode is mind Blowing . i missed 13 pro or higher varients for zooming in this mode . - Actually i really miss pro variant for the tele lens and camera features while i using this . Cost is wall for me. - The photos are nice and feature like exposure adjust and filter was good and quality photos . And the 5x zoomed photos is not good for me.it reduced the pixel quality .- The video and optical image stabilisation was mind blowing . i mostly explore on videos . it was soo good , no words other than that.AND THE BIGGEST FEAR FOR ME NOW IS IOS UPDATEi turned off the auto update at first place .i heared about DISPLAY ISSUES,HEATING ISSUES and BUGS in the ios updates for 13 and 14 series.So for expencive and established brand like apple does not fair . This is the only -ve i have to say as a reminder .Also i heared without ios update display issues are happened . Buy the way it is a hardware issue one of the display provider company's batch may show the issues . but we customers cannot identify which company provides the hardaware.I will attach my battery analytics data screnshot photo here so you can better understand how the battery is good The ordering experience in the greate indian sale was worst . I planned to buy this for 45999/- in oct7 greate indian sale offer but i got canceled then i bought for 48999 that was disppointed .As a whole i didn't recommend base models ,i felt i must have buy pro variant but for person who need ios in affordable price i recommend 13 is better than 14",3.0 out of 5 stars,Apple iPhone 13,Colour: PinkSize: 128 GB,0.15,0.075,0.774,0.9934
debarghyo chaudhuri,Reviewed in India on 30 July 2022,Review after 1 week of usage,"Got it for 65K on Amazon prime day. So as a lifelong android user I have switched to IOS. So will be dividing this into the pros and negs:Product red 128GBPros:1) Received genuine product from Amazon( was quite sceptic about it though)2) Built quality excellent3) Camera quality excellent. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images. And also no shift in dynamic range while shifting B/W wide and ultra wide cams.4) Display:- Its a really great display, not 120 hz, but the experience is no less than a 120 hz, coz of apple's great software optimization, buttery smooth, no jitters on the screen, won't feel like a 60 hz panel. Now the notch, yes it will be bothering a little bit but its got its own functions, face unlock and stuff (works great in all environmental conditions)after a little while you get adjusted and it got its own magic functions like when when the phone rings and you go close to it, it detects your presence and lowers the vol level.5) Performance: Most powerful processor in the world.6) Battery:- With light usage will easily go for 2 days and with heavy 1 day. Remember to follow a charging pattern and it will give a solid battery exp.7) Speakers: Very loud with a small thumpCons:1) To keep photos and stuff you need to buy storage. 5 GB by default but that's nothing. Download google photos as an alternate sol. if you don't wanna buy storage.2) File management system sucks, android is much better.3) It has dolby atmos but for that you need a subscription to Apple music.4) Does not have a telephoto cam, which I think is a must at this price point.5) Somehow I am not getting 4g+ on my airtel, don't know why but in my android phone always used to get that.6) No USB C7) Siri is dumb AF8) Apple maps are not good, so download Google maps.9) Google keypad is much better than apple's.10) Notification panel and those small things like typing in the notification panel and other things that you can do in android is much much better than apple.11) As of now no haptic feedback while typing maybe coming on IOS 16Note:- Apple ecosystem still exploring that part but whenever you click any pic it automatically gets updated and I can see it in my Macbook also.Overall I would say if you are planning to buy a phone for responsiveness and does the everyday stuff without any hanging problems and stuff then buy it, and also if you are planning to keep it for a long time, then I think its a good investment for the future. Its got Great resale value.Hope this helps in making your decision easier.Update after 2 weeks of usage:All the above points remains the same, but I did check out the ecosystem and the experience has been amazing.1) I can receive and make phone calls (cellular calls) from my macbook, and the call quality is also good.So basically you can keep your phone in some other section of the house and you are working with your macbook somewhere else and if some call comes you can receive that on your macbook. PS:- your phone and macbook should be connected to a similar network, i.e wi-fi.2) Airplay- Just from the lock screen itself i can play any video and also listen to music from my phone. So basically you can watch youtube amazon prime videos(app not in the macbook but present on phone) and other stuff and also listen to music, and the switch of devices is also seamless. So someone in my house can use my macbook to watch movies on amazon prime(playing from my phone) and I can browse linkedin or FB from my iphone.",4.0 out of 5 stars,Apple iPhone 13,No Details,0.123,0.05,0.827,0.9943
chetana kaushik,Reviewed in India on 11 August 2024,i phone,camera quality is top,5.0 out of 5 stars,Apple iPhone 13,Colour: BlueSize: 128 GB,0.375,0,0.625,0.2023
sahil lipne,Reviewed in India on 20 August 2024,Top notch,"If you thinking to buy iphone 13, wait till great indian sale and bbd sale...you will get best discount on it...and in 2024 buy iphone 14...but if your budget id tight buy iphone 13.",5.0 out of 5 stars,Apple iPhone 13,Colour: StarlightSize: 128 GB,0.206,0,0.794,0.8519
yogesh babu,Reviewed in India on 21 August 2024,Explant product,No 1 Mobile phone,5.0 out of 5 stars,Apple iPhone 13,Colour: GreenSize: 128 GB,0,0.524,0.476,-0.296
Krishna,Reviewed in India on 10 July 2024,Best iPhone,Best but worst cable was given,4.0 out of 5 stars,Apple iPhone 13,Colour: BlueSize: 128 GB,0.212,0.461,0.327,-0.6187
Shreem Dwivedi,Reviewed in India on 9 August 2024,Sparky,Trend setter ❤️‍🔥,5.0 out of 5 stars,Apple iPhone 13,Colour: StarlightSize: 128 GB,0,0,1,0
KUNAL RAJPUT,Reviewed in India on 10 August 2024,Love it !,Amazing very smooth to use,5.0 out of 5 stars,Apple iPhone 13,Colour: MidnightSize: 128 GB,0.487,0,0.513,0.5859
Ishan Dadwal,Reviewed in India on 11 August 2024,Better quality photos,I realy happy about its performanceBut its Battry health will decrease rapidly ‘at last it is a good choice to buy an iPhone  ❤️,5.0 out of 5 stars,Apple iPhone 13,Colour: StarlightSize: 128 GB,0.248,0,0.752,0.765
Abuzar,Reviewed in India on 16 August 2024,If you love to capture moments then this phone always satisfy you with it’s fabulous camera quality.,Amazing camera 🙌🏻,5.0 out of 5 stars,Apple iPhone 13,Colour: StarlightSize: 128 GB,0.655,0,0.345,0.5859
Nitish Sharma,Reviewed in India on 12 August 2024,Great Product at Great price,Loved the Product,5.0 out of 5 stars,Apple iPhone 13,Colour: BlueSize: 128 GB,0.661,0,0.339,0.5994
Mahesh Kumar,Reviewed in India on 14 August 2024,Best Phone,best phone,5.0 out of 5 stars,Apple iPhone 13,Colour: PinkSize: 128 GB,0.808,0,0.192,0.6369
Shriram,Reviewed in India on 6 July 2024,Best phone,"This phone camera good quality display 4K best but charging time phone heating ,battery life average hai",4.0 out of 5 stars,Apple iPhone 13,Colour: BlueSize: 128 GB,0.233,0,0.767,0.5499
Amazon Customer,Reviewed in India on 12 August 2024,"Nice phone ,",Working good,5.0 out of 5 stars,Apple iPhone 13,Colour: PinkSize: 128 GB,0.744,0,0.256,0.4404
Wangkheimayum Nelson Singh,Reviewed in India on 14 August 2024,Excellent,I have been using this phone since 1 year its good after all,5.0 out of 5 stars,Apple iPhone 13,No Details,0.225,0,0.775,0.4404
syed aqeedat raza rizvi,Reviewed in India on 21 August 2024,Excellent,iPhone is best,5.0 out of 5 stars,Apple iPhone 13,Colour: PinkSize: 128 GB,0.677,0,0.323,0.6369
Vishal Jha,Reviewed in India on 12 August 2024,Everything was very good,We received a genuine product with best deal very happy. Thanks Amazon.,5.0 out of 5 stars,Apple iPhone 13,Colour: GreenSize: 128 GB,0.656,0,0.344,0.9237
Nagendra Singh Madnawat,Reviewed in India on 1 November 2023,The iPhone 13 - A Stunning Upgrade!,"The iPhone 13 is, without a doubt, a game-changer. As an avid Apple user, I recently upgraded to this incredible device, and it has exceeded my already high expectations in every way. Here's why I am thoroughly impressed with the iPhone 13:Performance: The A15 Bionic chip is a powerhouse. It makes everything I do on my phone feel lightning-fast and seamless. Whether I'm gaming, streaming, or multitasking, the iPhone 13 handles it all effortlessly.Display: The Super Retina XDR display is a work of art. The colors are vivid, the brightness is exceptional, and the contrast is stunning. Whether I'm watching movies, browsing the web, or scrolling through social media, the visual experience is second to none.Camera: The camera system on the iPhone 13 is nothing short of amazing. It captures photos and videos with outstanding clarity and detail. The Night mode has been a game-changer for low-light photography, and the Cinematic mode for videos adds a whole new dimension to my creative endeavors.Battery Life: Apple has improved battery life on the iPhone 13, and it shows. I can go through an entire day of heavy usage without needing to reach for a charger. The battery management features are also impressive, ensuring I get the most out of every charge.iOS: The iPhone 13 runs on iOS, and the user experience is unmatched. The interface is intuitive, and the App Store offers a vast ecosystem of apps that enhance the device's capabilities.Design: The iPhone 13 boasts a sleek and premium design. It's durable and feels great in hand. The Ceramic Shield front cover offers extra protection, which is a welcome addition.5G Capability: The iPhone 13 is 5G-ready, which means I can experience lightning-fast data speeds and low latency, making it future-proof and ready for the latest advancements in mobile technology.Privacy and Security: Apple's commitment to user privacy and security is commendable. With features like Face ID and enhanced data protection, I feel confident that my personal information is in safe hands.In summary, the iPhone 13 is a stunning upgrade, delivering on Apple's legacy of innovation and excellence. It offers exceptional performance, a breathtaking display, a camera system that redefines mobile photography and videography, and a design that exudes luxury. This device is a testament to Apple's commitment to pushing the boundaries of what a smartphone can be. If you're looking for the best in the business, the iPhone 13 is it. I wholeheartedly recommend it to anyone seeking a top-tier mobile experience. It's worth every penny and more!",4.0 out of 5 stars,Apple iPhone 13,Colour: StarlightSize: 256 GB,0.194,0.017,0.79,0.9974
